,"Unnamed: 0, nan","№ п/п, nan","Дата составления, nan","Организация, nan","Месторождение, nan","ЛУ, nan","Цех, nan","ТЛ/ДНС, nan","АГЗУ, nan","№ Скв, nan","Номер куста, nan","Дата ввода в эксплуатацию, nan","Тип ствола скв., nan","Пласт,  ","Состояние по фонду, nan","текущее состояние, nan","Скин фактор, nan","Дата ГРП, nan","Исполнитель ГРП, nan","Примечание ГРП, nan","P нас, ат","ГС, м3/м3","Вязкость нефти (пл.усл), сПз","Вязкость воды (пл.усл.), сПз","Вязкость жидкости (станд.усл), сПз","Объемный коэф-т нефти, nan","Плот-ть нефти (станд.усл), г/см3","Плот-ть нефти  (пл.усл.), г/см3","Т пласта, ͦС","Плот-ть воды (станд.усл), г/см3","Dэк 
внешн., мм","Толщ. стенки, мм","Интервал спуска ЭК, м","Исскуств. забой, м","Текущий забой, м","Дата отбивки текущего забоя, nan","Способ отбивки текущего забоя, nan","Примечание, nan","Тип конструкции  забоя, nan","Интервалы перфорации, м","Нперф_Эфф, м","Нвд_замер, м","Удлинение на Нвд, м","Интервал спуска хвостовика, м","Диаметр хвостовика, мм","Толщ.стенки хвостовика, мм","Способ эксплуатации, nan","Глубина 1 и.о., м","Давление запуска
1 и.о., ат","Глубина 2 и.о., м","Давление запуска
2 и.о., ат","Глубина 3 и.о., м","Давление запуска
3 и.о., ат","Глубина 4 и.о., м","Давление запуска
4 и.о., ат","Глубина 5 и.о., м","Давление запуска
5 и.о., ат","Глубина 6 и.о., м","Давление запуска
6 и.о., ат","Глубина НПЦК, м","Состояние НПЦК, nan","Примечание.1, nan","Тип насоса, nan","Число ступеней, шт","Напор, м","Частота, Гц","ПЭД, кВт","Qтеор, м3/сут","Глубина спуска ПО, м","Глубина спуска ПО (по верт.), м","Удлинение на гл спуска ПО, м","Dнкт, мм","Толщина стенки НКТ, мм","Dшт, мм","Вид штуцера, nan","Режим работы, nan","Время работы, час","Время
накопления, 0+","Рбуф, ат","Рзатр, ат","Рлин, ат","Дата замера Рпл, nan","Рпл, ат","Рг/г, ат","Состояние АСУРГГ, nan","Модификация АСУРГГ, nan","Dшт линии подачи г/г, мм","Ндин (расчетный от Рпр), м","Р пр (расчетный от Нд), ат","Ндин, м","Р пр, ат","Рзаб, ат","Дебит нефти, т/сут","Дебит жидкости, м3/сут","Обводненность, %","Дебит газа, тыс.м3/сут","Расход г/г, тыс.м3/сут","Расход г/г.1, м3/ч","Дебит ПНГ, тыс.м3/сут","ГФ, м3/сут","УРГГ, м3/т","Кпрод, м3/(сут*ат)"
0,1р,1.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-18,1р,Без куста,2013-08-09 00:00:00,Верт.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.9812058191994981,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1985,1910,1908.3,2019-08-09 00:00:00,,,закрытый,"1836-1839;   1844-1850;   1854-1858;
1861-1868; 1872-1876, 1894-1908,3; 1910-1975;1910-1947",72.24,1836,0.5,,,,Газлифт,399.99999375,ГП,709.999974023,ГП,949.999985156,ГП,1120.000027148,ГП,1290.000069141,ГК 79 5/32,-,-,1770,открыт,-,-,-,-,-,-,-,1820,1810.48,9.519999999999982,73,5.5,18,штуцер,Постоянный,24,0,25,37,24,2023-04-01 00:00:00,109.3,74,В работе,Сиант ,5,,,,,44,8.0015232,9.6,0.3,18,8.4,,9.6,1199.7715634943108,1045.4427061553276,0.14701378254211334
1,2р,1.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,ЗУ-9,2р,Без куста,2004-10-08 00:00:00,Верт.,P4+5+6_Block1_yug,Действующий,В работе,-4.0,2013-09-18 00:00:00,Slb,КГРП 64м3 15% HCL,203,218.2,0.98,1.66,0.9805221575827126,1.454,0.836,0.72,34.3,1.17,"177,8;139,7","10,06; 7,72",0-1555; 1555-1898,1887,1880,2004-10-08 00:00:00,,,закрытый,"1795-1822; 1831-1833; 1839-1851; 
1870-1873; 1875-1877; 1878-1880",85,1795,0.33,,,,Газлифт,519.9888,ГК 84 1/8,929.9448,ГК 86 1/8,1250,ГК 84 5/32,1515,ГК 86 5/32,1730.0448,ЦКсОК 5/16,-,-,1740,закрыт,-,-,-,-,-,-,-,1780,1780,0,73,5.5,65,Угловик,Периодический,24,24,24,35,23,2023-04-01 00:00:00,83,79,Не работает,Сиант ,5,,,,,41,3.7571094,4.5,0.13,7.2,5,,2.2,585.5565451461168,1328.4151154829785,0.10714285714285714
2,2-2,2.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-4,2-2,Куст скважины-2,2002-02-07 00:00:00,Гор.,Р4+5_Block3,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.1299733274060901,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1935,2767,2767,2012-12-01 00:00:00,,,открытый,1935-2767 ,1.009999999999991,1935,19.7,,,,Газлифт,468.000010547,ГП,865.000001367,ГК 87 1/8,1196.99997832,ГК 86 1/8,1472.000048438,ГК 86 1/8,1712.999961328,ЦКсОК 5/16,-,-,1821,открыт,-,-,-,-,-,-,-,2200,1948.75,251.25,73,5.5,18,ШДР,Постоянный,24,0,18,45,15,2023-04-01 00:00:00,115,84,В работе,ГКС,6,,,,,83,5.8209007999999995,10.3,32.4,19.9,13,,6.899999999999999,1185.3835406368717,1342.229437313466,0.321875
3,3-2,2.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,3-2,Куст скважины-3,1996-06-22 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,"177,8;139,7","8,05; 7,72",0-1818; 1818-2588,2596,2596,,,,закрытый,1818-2588(фильтр хвостовик),144.85,1818,13.8,1818-2588,139.7,7.72,Фон.,786,ГК 77 1/8,1386,ГК 77 1/8,1784,ЦКсОК 5/16,-,-,-,-,-,-,1797,закрыт,-,-,-,-,-,-,-,2417,1949.05,467.95000000000005,73,5.5,65,Угловик,Постоянный,24,0,19,30,18,2023-04-01 00:00:00,109,,,,,,,,,36,6.6044,7.9,0,11.2,,,11.2,1695.8391375446672,,0.10821917808219178
4,3-3,3.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,3-3,Куст скважины-3,1996-09-19 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.3064567940893026,1.454,0.836,0.72,34.3,1.17,"139,7/102","7,72/6,5",2147,2550,2550,,,,открытый,1919-2550,30.67,1919,42,1470-1919,102,6.5,Газлифт,519.999999316,ГП,930.000015234,ГК 77 1/8,1260.000039844,ГК 79 5/32,1430.000007422,ЦКсОК 5/16,-,-,-,-,1440,закрыт,-,-,-,-,-,-,-,1480,1469,11,73,5.5,65,Угловик,Постоянный,24,0,20,47,19,2023-04-01 00:00:00,156,60,,,6,,,,,52,4.108104,12.6,61,14.5,12,,2.5,608.5532401321875,922.4743344578297,0.12115384615384615
5,4-2,3.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,4-2,Куст скважины-4,1996-08-15 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (периодический режим),,, ,,203,218.2,0.98,1.66,0.9818501368844424,1.454,0.836,0.72,34.3,1.17,177.8,8.05,0-1879,2432,2432,,,,закрытый,1879-2429 (фильтр хвостовик),88.42,1879,15.5,1879-2429,139.7,7.72,Газлифт,509.9304,ГК 80 1/8,900.0744,ГК 80 1/8,1210.056,ГК 78 1/8,1459.992,ГК 75 1/8,1699.8696,ЦКсОК 5/16,-,-,1810,закрыт ,-,-,-,-,-,-,-,2429,1951.2,477.79999999999995,73,5.5,65,Угловик,Периодический,24,24,18,36,17,2023-04-01 00:00:00,76,67,В работе,ГКС,6,,,,,41,2.9125403999999997,3.5,0.46,6.9,3.55,,3.3500000000000005,1150.1986375879974,1211.114606854117,0.1
6,4-1,4.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,4-1,Куст скважины-4,1995-04-06 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),-4.0,1996-11-27 00:00:00,Halli,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,"177,8;139,7","8,05; 7,72",0-1976; 1976-2517,2517,2517,,,,открытый,2038-2493,45.01999999999998,1976,70.94,1976-2517,139.7,7.72,Газлифт,619.999997754,ГП,1130.000012109,ГП,1524.999976172,ГК 85 5/32,1787.999960156,ЦКсОК 5/16,-,-,-,-,1780,открыт,-,-,-,-,-,-,-,2020,1950.06,69.94000000000005,73,5.5,18,ШДР,Постоянный,24,0,18,34,17,2023-04-01 00:00:00,69,69,В работе,Инком-систем,6,,,,,42,8.2764,9.9,0,12.3,5.3,,7.000000000000001,845.7783577400803,640.3750422889178,0.3666666666666667
7,4-3,5.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,4-3,Куст скважины-4,1995-11-16 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.0315527824278394,1.454,0.836,0.72,34.3,1.17,"177,8; 114",9.19,1863,"1 ств:1640 (ЦМ)
2 ств:2605",2605,,,,открытый,"2031,9-2605",10.39,2031.9,115.33,1562-2031,114,7.72,Газлифт,519.9888,ГП,940.0032,ГП,1299.972,ГК 82 1/8,1530.096,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,-,-,2031.9,1916.57,115.33000000000015,73,5.5,65,Угловик,Постоянный,24,0,20,39,19,2023-04-01 00:00:00,67,67,В работе,ГКС,6,,,,,32,1.9818216,2.7,12.2,19.1,6.8,,12.3,6206.411313712597,2877.3729652530133,0.07714285714285715
8,5р,6.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-2,5р,Без куста,1994-12-09 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.9832221255197755,1.454,0.836,0.72,34.3,1.17,"139,7; 114",7.72,2017,2170,2170,,,,открытый,2033-2170                                     ,4.48,2033,122.48,"1656,09-2033",114,7.4,Газлифт,602.000017383,ГП,1099.999982813,ГК 82 1/8,1587.999963281,ЦКсОК 5/16,-,-,-,-,-,-,1638,закрыт,-,-,-,-,-,-,-,2033,1910.52,122.48000000000002,73,5.5,18,ШДР,Постоянный,24,0,20,45,18,2023-04-01 00:00:00,92,74,В работе,Сиант ,6,,,,,35,8.873638399999999,10.7,0.8,16.4,9.6,,6.799999999999999,766.31475089181,1069.9045306355572,0.18771929824561404
9,5-2,7.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,5-2,Куст скважины-5,2002-06-07 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.9808035498963005,1.454,0.836,0.72,34.3,1.17,"139,7; 114",7.72,1990,"1 ств 2586
2 ств 2620 ","1 ств 2586
2 ств 2620 ",,,,открытый,1875-2586; 1875-2620,15,1990,72.1,,,,Газлифт,519.999999316,ГП,949.999985156,ГП,1299.999979688,ГК 77 5/32,1560.000035156,ЦКсОК ,-,-,-,-,1703,закрыт,-,-,-,-,-,-,-,1590,1918,-328,73,5.5,65,Угловик,Постоянный,24,0,19,61,18,2023-04-01 00:00:00,108,63,В работе,Сиант ,6,,,,,41,4.9225352,5.9,0.2,8.1,6,,2.0999999999999996,426.609443036588,1215.5100049033676,0.08805970149253732
10,5-1,8.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,5-1,Куст скважины-5,2002-05-09 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.9808035498963005,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1984,2500,2500,,,,открытый,1984-2500 ,16.08,1912.82,71.18,,,,Газлифт,599.000014453,ГП,1199.000005078,ГК 80 1/8,1802.000073047,ЦКсОК 5/32,-,-,-,-,-,-,1813,закрыт,-,-,-,-,-,-,-,2003,1915.13,87.86999999999989,73,5.5,65,Угловик,Постоянный,24,0,19,35,18,2023-04-01 00:00:00,111,63,В работе,Сиант ,6,,,,,34,8.426712799999999,10.1,0.2,19.8,9.6,,10.200000000000001,1210.436411218382,1136.0806382463156,0.13116883116883116
11,6р,9.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,6р,Без куста,1995-06-25 00:00:00,Верт.,Р4+5_Block3,Действующий,В работе (постоянный режим),-4.0,2013-10-04 00:00:00,Slb,КГРП 64м3 15% HCL,203,218.2,0.98,1.66,0.9804016102981944,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1995,1950,1950,,,,закрытый,1862-1900; 1901-1944;(ЗПКС-80),81.65,1862,1.75,,,,Газлифт,549.8592,ГК 78 1/8,1239.9264,ГК 76 1/8,1748.9424,ЦКсОК 5/16,-,-,-,-,-,-,1768,закрыт,-,-,-,-,-,-,-,1842,1840,2,73,5.5,65,Угловик,Постоянный,24,0,18,34,17,2023-04-01 00:00:00,63,65,В работе,ГКС,6,,,,,39,16.202181599999996,19.4,0.1,35,7.2,,27.8,1715.8183191823998,443.7692905586087,0.8083333333333332
12,10-1,10.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-4,10-1,Без куста,2002-10-18 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,0.9814070776173066,1.454,0.836,0.72,34.3,1.17,"139,7; 114",7.72,1982,2606,2606,,,,открытый,1970-2606,41.77,1970,58,1637-1970,102,6.5,Газлифт,499.872,ГП,890.016,ГП,1210.056,ГП,1449.9336,ГК 100 1/8,1599.8952,ЦКсОК 5/16,-,-,1610,закрыт,-,-,-,-,-,-,-,1970,1911.9,58.09999999999991,73,5.5,18,ШДР,Постоянный,24,0,15,28,14,2023-04-01 00:00:00,86,83,В работе,Сиант ,6,,,,,34,9.163814,11,0.35,24,9.6,,14.4,1571.3981100009232,1042.5267285934783,0.21153846153846154
13,12-1,11.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-1,12-1,Куст скважины-12,1997-11-14 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.9801204485370489,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1921,2505,2505,,,,открытый,1921-2505,28.53,1921,19.53,,,,Газлифт,627.700030078,ГП,1130.529989063,ГП,1531.030045313,ГК 85 1/8,1774.90993125,ЦКсОК 5/16,-,-,-,-,1785,закрыт,-,-,-,-,-,-,-,1793.78,1793,0.7799999999999727,73,5.5,18,ШДР,Постоянный,24,0,16,33,15,2023-04-01 00:00:00,70,81,В работе,Сиант ,6,,,,,33,4.22053346,5.05,0.03,25.211,6.42,,18.790999999999997,4452.280778743073,1520.5026891783452,0.13648648648648648
14,12-2,12.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-1,12-2,Куст скважины-12,2002-08-30 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1910,2500,2500,,,,открытый,1910-2500,45,1910,22.39,,,,Газлифт,599.999990625,ГК 81 1/8,1100.000057227,ГК 83 5/32,1449.999977344,ГК 84 5/32,1760.000032031,ЦКсОК 5/16,-,-,-,-,1790,закрыт,-,-,-,-,-,-,-,2130,1912.29,217.71000000000004,73,5.5,18,ШДР,Постоянный,24,0,16,31,15,2023-04-01 00:00:00,91,84,В работе,ГКС,6,,,,,30,8.025599999999999,9.6,0,31.6,9.9,,21.700000000000003,2703.84768740032,1233.5526315789475,0.15737704918032785
15,13-3,13.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,13-3,Без куста,1996-11-30 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (периодический режим),,,,,203,218.2,0.98,1.66,1.0396216768916153,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1922,2664,2691,2022-12-22 00:00:00,,"Окно 1650-1653м, ВПШ 1670м, КО 1650-1656м",закрытый,"2204,76-2205,56; 2423,95-2424,75; 2543,67-2544,47; 2651,62-2652,52","0.8,0.8,0.8,0.9",2204.76,310,,,,Газлифт,550,ГП,1010,ГК 80 1/8,1400,ГК 80 1/8,1603,ЦКсОК 5/16,-,-,-,-,1613,закрыт,33.73,-,-,-,-,-,-,1623,1623,0,,,18,ШДР,Постоянный,24,0,20,52,18,2023-04-01 00:00:00,177.6,67,В работе,ГКС,6,,,,,44,1.7973999999999999,2.5,14,7.5,4.8,,2.7,1502.1698008234116,2179.1437780905253,0.018712574850299403
16,14-1,14.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-2,14-1,Куст скважины-14,1997-08-29 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1858,2762,2762,,,,открытый,2060-2790,79.7793999999999,1858,2.7,,,,Газлифт,599.999990625,ГК 81 1/8,1089.999997852,ГК 82 1/8,1490.000066016,ГК 82 1/8,1619.999944922,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,-,-,1858,1934.5,-76.5,73,5.5,65,Угловик,Постоянный,24,0,17,30,16,2023-04-01 00:00:00,115,73,В работе,Сиант ,6,,,,,34,3.2603999999999997,3.9,0,11,7.2,,3.8,1165.5011655011656,2208.317997791682,0.04814814814814815
17,15-1,14.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-2,15-1,Без куста,2001-04-16 00:00:00,Гор.,Р4+5+6_Block2,Действующий,ВСП,,, ,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1874,"1 ств 1657
2 ств 2425 
3 ств 1974","1 ств 2467
2 ств 2425 
3 ств 1974",,,,закрытый,"1917-2425; 1904,59-1905,39; 1960,38-1961,48; 1974-2341",19.91,1904.59,13.37,,,,Газлифт,549.999991406,ГК 83 1/8,989.999999414,ГК 84 1/8,1330.000008984,ГК 85 5/32,1560.000035156,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,-,-,1974,1891.22,82.77999999999997,73,5.5,65,Угловик,Периодический,24,24,20,39,19,2023-04-01 00:00:00,64.7,75,В работе,Сиант ,6,,,,,41,2.2572,2.7,0,21.7,7.2,,14.5,6423.888002835371,3189.792663476874,0.11392405063291139
18,19-1,15.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-2,19-1,Без куста,2002-03-29 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1978,"1 ств 2467
2 ств 2600 
3 ств 2610","1 ств 2467
2 ств 2600 
3 ств 2610",,,,открытый,1978-2467; 2350-2600; 2460-2610,75.83,1918,62.2,,,,Газлифт,530.0472,ГП,940.0032,ГП,1279.8552,ГК 82 1/8,1530.096,ГК 77 5/32,1690.116,ЦКсОК 5/16,-,-,1700,закрыт,-,-,-,-,-,-,-,1910,1514.94,395.05999999999995,73,5.5,65,Угловик,Постоянный,24,0,18,33,17,2023-04-01 00:00:00,111,74,В работе,Сиант ,6,,,,,42,7.356800000000001,8.8,0,18.2,9.6,,8.6,1168.9865158764678,1304.9151805132665,0.127536231884058
19,20-1,16.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-2,20-1,Куст скважины-20,1995-09-22 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.1173076923076921,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1877,2 ств.1868,2 ств.1868,,,,открытый,"1559,75-1868",78.68581999999992,1878,10,,,,Газлифт,674.999989453,ГП,1149.999982031,ГК 80 1/8,1519.999946484,ЦКсОК 5/16,-,-,-,-,-,-,1890,закрыт,-,-,-,-,-,-,-,1915,1893.65,21.34999999999991,73,5.5,18,ШДР,Постоянный,24,0,19,48,18,2023-04-01 00:00:00,119,76,,,6,,,,,57,13.86924,23.7,30,15.2,8.6,,6.6,475.87322737222803,389.09414359021696,0.38225806451612904
20,20-2,17.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-2,20-2,Куст скважины-20,1997-11-01 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,1.0315527824278394,1.454,0.836,0.72,34.3,1.17,"177,8;
139,7","8,05;
7,72","0-1851;
1851-2396",2390,2390,,,,закрытый,1902-2384(фильтр хвостовик),78.61,1902,33.1,"1902-2384
фильтр-""хвостовик""",139.7,7.72,Газлифт,549.999991406,78.125,980.000014453,78.125,1349.999978906,78.125,1649.999974219,ЦКсОК 5/16,-,-,-,-,1790,закрыт,-,-,-,-,-,-,-,2384,1947.9,436.0999999999999,73,5.5,18,ШДР,Постоянный,24,0,18,34,17,2023-04-01 00:00:00,94,74,В работе,Сиант ,6,,,,,43,3.9636432,5.4,12.2,15.1,9.6,,5.5,1387.6122855861497,2031.0867990021272,0.10588235294117648
21,21-1,18.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-1,21-1,Без куста,1998-11-16 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,1.019247155531051,1.454,0.836,0.72,34.3,1.17,"177,8;114,3","9,19; 7,72","0-1905;
1812-2367","1 ств 2358;
2 ств 2367;","1 ств 2358;
2 ств 2367;",,,,откр.ствол / закрытый,1911-2358; 1812-2367,"45,43;138,6",1812,16.1,1812-2367,114.3,7.72,Газлифт,843.999980859,ГК 83 1/8,1343.999973047,ГК 91 1/8,1750.999948828,ЦКсОК 5/16,-,-,-,-,-,-,1764,закрыт,-,-,-,-,-,-,-,2030,1939,91,73,5.5,65,Угловик,Постоянный,24,0,16,37,15,2023-04-01 00:00:00,59,72,,,6,,,,,33,10.149374400000001,13.4,9.4,14.5,5.3,,9.2,906.4598109613534,456.5820139491491,0.5153846153846154
22,23-2,19.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-4,23-2,Куст скважины-23,2002-04-17 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1933,2350,2350,,,,открытый,1933-2350 ,55.14,1933,22.5,,,,Газлифт,580.0344,ГП,1039.9776,ГП,1430.1216,ГК 95 1/8,1744.0656,ЦКсОК 5/32,-,-,-,-,1740,закрыт,-,-,-,-,-,-,-,2210.76,1967.09,243.6700000000003,73,5.5,65,ШДР,Постоянный,24,0,16,28,15,2023-04-01 00:00:00,125,83,В работе,ГКС,6,,,,,35,8.8616,10.6,0,14.6,8.4,,6.199999999999999,699.6479191116728,947.9100839577504,0.11777777777777777
23,28-1,20.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-9,28-1,Куст скважины-28,1995-11-21 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,"177,8;
139,7","9,19;
6,4;",2039; 1860;,2550,2550,,,,открытый,1860-2550,107.03,1860,14.72,,,,Газлифт,649.999989844,ГП,1149.999982031,ГК 89 1/8,1569.999945703,ЦКсОК 5/16,-,-,-,-,-,-,1590,закрыт,-,-,-,-,-,-,-,1658.96,1656,2.9600000000000364,73,5.5,18,ШДР,Постоянный,24,0,15,33,14,2023-04-01 00:00:00,119,80,,,5,,,,,38,7.4404,8.9,0,8.2,6.2,,1.9999999999999991,268.80275254018585,833.2885328745766,0.10987654320987655
24,29-2,21.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-1,29-2,Куст скважины-29,1996-08-21 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,1.0794956867949568,1.454,0.836,0.72,34.3,1.17,"177,8;
139,7",9.19,1917; 2838;,1 ств. 2850; 2 ств. 2744,1 ств. 2850; 2 ств. 2744,,,,открытый,1917-2850; 1761-2744,46.6,1917,46.3,,,,Газлифт,780.99999375,ГК 95 1/8,1338.999943359,ГК 85 1/8,1768.999966406,ЦКсОК 5/16,-,-,-,-,-,-,1784,закрыт,-,-,-,-,-,-,-,1791,1905.5,-114.5,73,5.5,18,ШДР,Постоянный,24,0,17,46,15,2023-04-01 00:00:00,160,78,В работе,Инком-систем,6,,,,,52,8.16354,12.6,22.5,9.5,4.8,,4.7,575.7306266644127,419.34325604312943,0.11666666666666667
25,29-1,22.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-1,29-1,Куст скважины-29,1995-07-28 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),-4.0,1996-03-24 00:00:00, Halli,,203,218.2,0.98,1.66,1.0004920049200492,1.454,0.836,0.72,34.3,1.17,"177,8;
139,7",9.19,1851,2285,2285,,,,закрытый,1853-2280(фильтр-хвостовик),29.99,1853,1.88,,,,Газлифт,668.999983594,ГП,1212.999969141,ГК 82 1/8,1562.999963672,ЦКсОК 5/16,-,-,-,-,-,-,1790,закрыт,-,-,-,-,-,-,-,1870,1867,3,73,5.5,18,ШДР,Постоянный,24,0,17,30,16,2023-04-01 00:00:00,68,76,В работе,Сиант ,6,,,,,40,8.41852,10.6,5,8.8,5.3,,3.500000000000001,415.7500368235748,586.7855885459452,0.37857142857142856
